"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
4,"3","2",57,"2",1,NA,1,0.686741
4,"3","2",58,"2",1,NA,1,0.654936
4,"3","2",59,"2",1,NA,1,0.672491
4,"3","2",61,"2",1,NA,1,0.68932
4,"3","2",62,"1",1,NA,1,0.665533
4,"3","2",63,"2",1,NA,1,0.65907
4,"3","2",64,"2",1,NA,1,0.620637
4,"3","2",67,"2",1,NA,1,0.669921
4,"3","2",68,"1",1,NA,1,0.589811
4,"3","2",69,"2",1,NA,1,0.642035
4,"3","2",71,"1",1,NA,1,0.591094
4,"3","2",73,"2",1,NA,1,0.620196
4,"3","2",74,"2",1,NA,1,0.695015
4,"3","3",4,"1",1,NA,1,1.181402
4,"3","3",5,"2",1,NA,0,0.578503
4,"3","3",7,"2",1,NA,1,0.644962
4,"3","3",8,"2",1,NA,1,0.719152
4,"3","3",9,"2",1,NA,1,0.693043
4,"3","3",10,"1",1,NA,1,0.645319
4,"3","3",11,"1",1,NA,1,0.927581
4,"3","3",12,"2",1,NA,1,0.686518
4,"3","3",13,"1",1,NA,1,0.574803
4,"3","3",16,"2",1,NA,1,0.579723
4,"3","3",19,"2",1,NA,1,0.689037
4,"3","3",20,"1",1,NA,1,0.601302
4,"3","3",21,"2",1,NA,1,0.636827
4,"3","3",22,"1",1,NA,1,0.591044
4,"3","3",24,"1",1,NA,1,0.549118
4,"3","3",28,"2",1,NA,1,0.64258
4,"3","3",30,"2",1,NA,1,0.598358
4,"3","3",31,"2",1,NA,1,0.578535
4,"3","3",32,"1",1,NA,1,0.590381
4,"3","3",35,"1",1,NA,1,0.660375
4,"3","3",36,"2",1,NA,1,0.829952
4,"3","3",38,"1",1,NA,1,0.68651
4,"3","3",39,"2",1,NA,1,0.55877
4,"3","3",40,"1",1,NA,1,0.54026
4,"3","3",41,"1",1,NA,1,0.59345
4,"3","3",42,"2",1,NA,1,0.66163
4,"3","3",43,"2",1,NA,1,0.647156
4,"3","3",44,"2",1,NA,1,0.609385
4,"3","3",48,"2",1,NA,1,0.751206
4,"3","3",50,"1",1,NA,1,0.614356
4,"3","3",51,"2",1,NA,1,0.721909
4,"3","3",52,"2",1,NA,1,0.632817
4,"3","3",53,"1",1,NA,1,0.579711
4,"3","3",54,"1",1,NA,1,0.624536
4,"3","3",56,"2",1,NA,1,0.69938
4,"3","3",57,"2",1,NA,1,0.579594
4,"3","3",58,"2",1,NA,1,0.592453
4,"3","3",59,"1",1,NA,1,0.684666
4,"3","3",60,"2",1,NA,1,0.684912
4,"3","3",62,"2",1,NA,1,0.612049
4,"3","3",64,"1",1,NA,1,0.513456
4,"3","3",65,"1",1,NA,1,0.584958
4,"3","3",66,"1",1,NA,1,0.597133
4,"3","3",67,"1",1,NA,1,0.561356
4,"3","3",69,"1",1,NA,1,0.704388
4,"3","3",70,"1",1,NA,1,0.551997
4,"3","3",72,"1",1,NA,1,0.56176
4,"3","4",4,"2",1,NA,1,0.619243
4,"3","4",5,"2",1,NA,0,0.74213
4,"3","4",6,"1",1,NA,1,0.564394
4,"3","4",8,"2",1,NA,1,0.591431
4,"3","4",9,"1",1,NA,1,0.571645
4,"3","4",12,"2",1,NA,1,0.680222
4,"3","4",13,"1",1,NA,1,0.552092
4,"3","4",15,"1",1,NA,1,0.921825
4,"3","4",16,"1",1,NA,1,0.656829
4,"3","4",17,"1",1,NA,1,0.538364
4,"3","4",19,"1",1,NA,1,0.517395
4,"3","4",20,"2",1,NA,1,0.980241
4,"3","4",21,"1",1,NA,1,0.54423
4,"3","4",22,"2",1,NA,1,0.694394
4,"3","4",25,"2",1,NA,1,0.601742
4,"3","4",28,"1",1,NA,1,0.613037
4,"3","4",29,"1",1,NA,1,0.655565
4,"3","4",30,"2",1,NA,1,0.665119
4,"3","4",31,"2",1,NA,1,0.730665
4,"3","4",32,"2",1,NA,1,0.625569
4,"3","4",33,"1",1,NA,1,0.652471
4,"3","4",35,"2",1,NA,1,0.627544
4,"3","4",37,"2",1,NA,1,0.608932
4,"3","4",38,"2",1,NA,1,0.58846
4,"3","4",39,"2",1,NA,1,0.648675
4,"3","4",40,"1",1,NA,1,0.658921
4,"3","4",41,"2",1,NA,1,0.51641
4,"3","4",43,"1",1,NA,1,0.681434
4,"3","4",44,"1",1,NA,1,0.586345
4,"3","4",45,"1",1,NA,1,0.677546
4,"3","4",47,"1",1,NA,1,0.672694
4,"3","4",48,"1",1,NA,1,0.721547
4,"3","4",50,"2",1,NA,1,0.561985
4,"3","4",53,"2",1,NA,1,0.640892
4,"3","4",55,"1",1,NA,1,0.515988
4,"3","4",56,"2",1,NA,1,0.619503
4,"3","4",57,"2",1,NA,1,0.598378
4,"3","4",59,"1",1,NA,1,0.558107
4,"3","4",60,"2",1,NA,1,0.62761
4,"3","4",61,"1",1,NA,1,0.573487
4,"3","4",62,"1",1,NA,1,0.67435
4,"3","4",63,"1",1,NA,1,0.57925
4,"3","4",67,"1",1,NA,1,0.598058
4,"3","4",68,"2",1,NA,1,0.682278
4,"3","4",69,"2",1,NA,1,0.571161
4,"3","4",70,"2",1,NA,1,0.591016
4,"3","4",74,"2",1,NA,1,0.569126
4,"4","1",4,"2",1,NA,1,0.738286
4,"4","1",9,"1",1,NA,1,0.489828
4,"4","1",10,"2",1,NA,1,0.458019
4,"4","1",11,"2",1,NA,1,0.803498
4,"4","1",12,"1",1,NA,1,0.567177
4,"4","1",13,"1",1,NA,1,0.700048
4,"4","1",15,"1",1,NA,1,0.505796
4,"4","1",16,"1",1,NA,1,0.720349
4,"4","1",18,"1",1,NA,1,0.537465
4,"4","1",19,"1",1,NA,1,0.49562
4,"4","1",20,"1",1,NA,1,0.527845
